sample	locus	read_count	molecule_count
01R_S1_R1_001	C1R	7745	6699
01R_S1_R1_001	C4BPA	5675	5004
01R_S1_R1_001	CD55	10372	9352
01R_S1_R1_001	CEBPD	11926	10404
01R_S1_R1_001	CFD	761	747
01R_S1_R1_001	CLDN4	11596	10263
01R_S1_R1_001	COMP	72	70
01R_S1_R1_001	CP	9136	8193
01R_S1_R1_001	CRABP2	765	756
01R_S1_R1_001	CYC1	873	847
01R_S1_R1_001	DDX52	1713	1628
01R_S1_R1_001	DEFB1	26229	19983
01R_S1_R1_001	DKK1	410	399
01R_S1_R1_001	DPP4	590	581
01R_S1_R1_001	DYNLT3	10305	8698
01R_S1_R1_001	EDN3	85	83
01R_S1_R1_001	EDNRB	1275	1228
01R_S1_R1_001	EFNA1	3972	3604
01R_S1_R1_001	ENPEP	75	75
01R_S1_R1_001	ERCC_00004	21838	16667
01R_S1_R1_001	ERCC_00108	2300	2199
01R_S1_R1_001	ERCC_00116	647	640
01R_S1_R1_001	ERCC_00136	4218	3977
01R_S1_R1_001	G0S2	237	236
01R_S1_R1_001	GADD45A	1754	1670
01R_S1_R1_001	GBP2	6509	5833
01R_S1_R1_001	GNLY	12241	10930
01R_S1_R1_001	GPX3	8568	7661
01R_S1_R1_001	HABP2	446	435
01R_S1_R1_001	HMBS	257	252
01R_S1_R1_001	ID4	13700	11514
01R_S1_R1_001	IDO1	14445	11174
01R_S1_R1_001	IGFBP1	35	35
01R_S1_R1_001	IL15	1168	1088
01R_S1_R1_001	LAMB3	1716	1651
01R_S1_R1_001	MAOA	5490	5088
01R_S1_R1_001	MAP3K5	1273	1241
01R_S1_R1_001	MMP7	723	703
01R_S1_R1_001	MT1G	45267	31422
01R_S1_R1_001	MT1H	4774	4462
01R_S1_R1_001	NDRG1	1245	1208
01R_S1_R1_001	NNMT	5800	5356
01R_S1_R1_001	OLFM1	85	85
01R_S1_R1_001	PAEP	45295	30868
01R_S1_R1_001	PRUNE2	770	751
01R_S1_R1_001	S100P	13086	11183
01R_S1_R1_001	SDHA	2046	1949
01R_S1_R1_001	SERPING1	13427	11326
01R_S1_R1_001	SFRP4	495	474
01R_S1_R1_001	SLC1A1	227	225
01R_S1_R1_001	SPP1	11537	10218
01R_S1_R1_001	TBP	473	464
01R_S1_R1_001	TCN1	1645	1584
01R_S1_R1_001	TSPAN8	726	708
01R_S1_R1_001	unmatched	23109	10052
02R-replicate_S9_R1_001	ABCC3	94	91
02R-replicate_S9_R1_001	ACADSB	254	251
02R-replicate_S9_R1_001	ANXA2	35970	25896
02R-replicate_S9_R1_001	ANXA4	8213	7210
02R-replicate_S9_R1_001	AOX1	41	40
02R-replicate_S9_R1_001	APOD	77	77
02R-replicate_S9_R1_001	AQP3	364	357
02R-replicate_S9_R1_001	ARG2	239	234
02R-replicate_S9_R1_001	ARID5B	439	417
02R-replicate_S9_R1_001	BCL6	118	118
02R-replicate_S9_R1_001	C10orf10	182	178
02R-replicate_S9_R1_001	C1R	2714	2549
02R-replicate_S9_R1_001	C4BPA	110	107
02R-replicate_S9_R1_001	CD55	1961	1881
02R-replicate_S9_R1_001	CEBPD	2048	1978
02R-replicate_S9_R1_001	CFD	505	497
02R-replicate_S9_R1_001	CLDN4	1253	1214
02R-replicate_S9_R1_001	COMP	10	10
02R-replicate_S9_R1_001	CP	1607	1558
02R-replicate_S9_R1_001	CRABP2	781	760
02R-replicate_S9_R1_001	CYC1	826	799
02R-replicate_S9_R1_001	DDX52	368	360
02R-replicate_S9_R1_001	DEFB1	4353	4054
02R-replicate_S9_R1_001	DKK1	248	245
02R-replicate_S9_R1_001	DPP4	103	102
02R-replicate_S9_R1_001	DYNLT3	5969	5308
02R-replicate_S9_R1_001	EDN3	153	152
02R-replicate_S9_R1_001	EDNRB	317	308
02R-replicate_S9_R1_001	EFNA1	694	664
02R-replicate_S9_R1_001	ENPEP	37	37
02R-replicate_S9_R1_001	ERCC_00004	16453	13245
02R-replicate_S9_R1_001	ERCC_00108	1820	1746
02R-replicate_S9_R1_001	ERCC_00116	499	491
02R-replicate_S9_R1_001	ERCC_00136	3220	3069
02R-replicate_S9_R1_001	G0S2	877	850
02R-replicate_S9_R1_001	GADD45A	260	256
02R-replicate_S9_R1_001	GBP2	1764	1692
02R-replicate_S9_R1_001	GNLY	8436	7756
02R-replicate_S9_R1_001	GPX3	342	337
02R-replicate_S9_R1_001	HABP2	41	40
02R-replicate_S9_R1_001	HMBS	289	283
02R-replicate_S9_R1_001	ID4	6621	5975
02R-replicate_S9_R1_001	IDO1	2936	2727
02R-replicate_S9_R1_001	IGFBP1	25	24
02R-replicate_S9_R1_001	IL15	621	589
02R-replicate_S9_R1_001	LAMB3	250	244
02R-replicate_S9_R1_001	MAOA	1802	1732
02R-replicate_S9_R1_001	MAP3K5	754	742
02R-replicate_S9_R1_001	MMP7	227	222
02R-replicate_S9_R1_001	MT1G	64724	39392
02R-replicate_S9_R1_001	MT1H	6479	6005
02R-replicate_S9_R1_001	NDRG1	551	535
02R-replicate_S9_R1_001	NNMT	439	428
02R-replicate_S9_R1_001	OLFM1	127	125
02R-replicate_S9_R1_001	PAEP	514	508
02R-replicate_S9_R1_001	PRUNE2	735	714
02R-replicate_S9_R1_001	S100P	567	551
02R-replicate_S9_R1_001	SDHA	2068	1983
02R-replicate_S9_R1_001	SERPING1	3265	3084
02R-replicate_S9_R1_001	SFRP4	1691	1632
02R-replicate_S9_R1_001	SLC1A1	36	36
02R-replicate_S9_R1_001	SPP1	1747	1685
02R-replicate_S9_R1_001	TBP	627	608
02R-replicate_S9_R1_001	TCN1	147	143
02R-replicate_S9_R1_001	TSPAN8	75	74
02R-replicate_S9_R1_001	unmatched	14131	4680
02R_S2_R1_001	ABCC3	109	108
02R_S2_R1_001	ACADSB	255	251
02R_S2_R1_001	ANXA2	41078	28343
02R_S2_R1_001	ANXA4	9510	8308
02R_S2_R1_001	AOX1	34	34
02R_S2_R1_001	APOD	71	71
02R_S2_R1_001	AQP3	431	427
02R_S2_R1_001	ARG2	235	231
02R_S2_R1_001	ARID5B	488	470
02R_S2_R1_001	BCL6	162	158
02R_S2_R1_001	C10orf10	200	199
02R_S2_R1_001	C1R	3026	2829
02R_S2_R1_001	C4BPA	143	141
02R_S2_R1_001	CD55	2045	1968
02R_S2_R1_001	CEBPD	2363	2266
02R_S2_R1_001	CFD	494	485
02R_S2_R1_001	CLDN4	1683	1627
02R_S2_R1_001	COMP	10	9
02R_S2_R1_001	CP	1920	1835
02R_S2_R1_001	CRABP2	1006	980
02R_S2_R1_001	CYC1	810	786
02R_S2_R1_001	DDX52	429	422
02R_S2_R1_001	DEFB1	4835	4512
02R_S2_R1_001	DKK1	272	266
02R_S2_R1_001	DPP4	94	93
02R_S2_R1_001	DYNLT3	6588	5878
02R_S2_R1_001	EDN3	174	171
02R_S2_R1_001	EDNRB	357	349
02R_S2_R1_001	EFNA1	770	747
02R_S2_R1_001	ENPEP	47	44
02R_S2_R1_001	ERCC_00004	18252	14455
02R_S2_R1_001	ERCC_00108	2091	2013
02R_S2_R1_001	ERCC_00116	600	584
02R_S2_R1_001	ERCC_00136	3757	3540
02R_S2_R1_001	G0S2	965	932
02R_S2_R1_001	GADD45A	258	256
02R_S2_R1_001	GBP2	1998	1909
02R_S2_R1_001	GNLY	9696	8796
02R_S2_R1_001	GPX3	392	380
02R_S2_R1_001	HABP2	41	41
02R_S2_R1_001	HMBS	264	263
02R_S2_R1_001	ID4	7265	6501
02R_S2_R1_001	IDO1	3299	3036
02R_S2_R1_001	IGFBP1	24	23
02R_S2_R1_001	IL15	648	624
02R_S2_R1_001	LAMB3	263	258
02R_S2_R1_001	MAOA	1956	1874
02R_S2_R1_001	MAP3K5	874	860
02R_S2_R1_001	MMP7	236	232
02R_S2_R1_001	MT1G	72294	42005
02R_S2_R1_001	MT1H	7139	6592
02R_S2_R1_001	NDRG1	504	489
02R_S2_R1_001	NNMT	469	456
02R_S2_R1_001	OLFM1	110	109
02R_S2_R1_001	PAEP	425	416
02R_S2_R1_001	PRUNE2	799	778
02R_S2_R1_001	S100P	669	652
02R_S2_R1_001	SDHA	2427	2307
02R_S2_R1_001	SERPING1	3624	3414
02R_S2_R1_001	SFRP4	1809	1740
02R_S2_R1_001	SLC1A1	29	28
02R_S2_R1_001	SPP1	1890	1835
02R_S2_R1_001	TBP	665	652
02R_S2_R1_001	TCN1	149	146
02R_S2_R1_001	TSPAN8	101	99
02R_S2_R1_001	unmatched	11255	4955
03R-replicate_S10_R1_001	ABCC3	62	59
03R-replicate_S10_R1_001	ACADSB	274	267
03R-replicate_S10_R1_001	ANXA2	39842	27668
03R-replicate_S10_R1_001	ANXA4	5184	4719
03R-replicate_S10_R1_001	AOX1	22	22
03R-replicate_S10_R1_001	APOD	268	262
03R-replicate_S10_R1_001	AQP3	542	529
03R-replicate_S10_R1_001	ARG2	376	370
03R-replicate_S10_R1_001	ARID5B	401	393
03R-replicate_S10_R1_001	BCL6	140	136
03R-replicate_S10_R1_001	C10orf10	505	496
03R-replicate_S10_R1_001	C1R	3563	3314
03R-replicate_S10_R1_001	C4BPA	103	102
03R-replicate_S10_R1_001	CD55	1624	1575
03R-replicate_S10_R1_001	CEBPD	2773	2643
03R-replicate_S10_R1_001	CFD	428	420
03R-replicate_S10_R1_001	CLDN4	817	801
03R-replicate_S10_R1_001	COMP	4	4
03R-replicate_S10_R1_001	CP	2051	1985
03R-replicate_S10_R1_001	CRABP2	788	766
03R-replicate_S10_R1_001	CYC1	673	657
03R-replicate_S10_R1_001	DDX52	444	434
03R-replicate_S10_R1_001	DEFB1	5814	5344
03R-replicate_S10_R1_001	DKK1	203	201
03R-replicate_S10_R1_001	DPP4	68	65
03R-replicate_S10_R1_001	DYNLT3	4192	3855
03R-replicate_S10_R1_001	EDN3	125	122
03R-replicate_S10_R1_001	EDNRB	273	267
03R-replicate_S10_R1_001	EFNA1	800	772
03R-replicate_S10_R1_001	ENPEP	45	43
03R-replicate_S10_R1_001	ERCC_00004	14263	11801
03R-replicate_S10_R1_001	ERCC_00108	1572	1517
03R-replicate_S10_R1_001	ERCC_00116	416	403
03R-replicate_S10_R1_001	ERCC_00136	3029	2875
03R-replicate_S10_R1_001	G0S2	209	207
03R-replicate_S10_R1_001	GADD45A	190	186
03R-replicate_S10_R1_001	GBP2	2365	2260
03R-replicate_S10_R1_001	GNLY	12058	10751
03R-replicate_S10_R1_001	GPX3	220	218
03R-replicate_S10_R1_001	HABP2	19	19
03R-replicate_S10_R1_001	HMBS	169	167
03R-replicate_S10_R1_001	ID4	5946	5448
03R-replicate_S10_R1_001	IDO1	4852	4387
03R-replicate_S10_R1_001	IGFBP1	10	10
03R-replicate_S10_R1_001	IL15	776	737
03R-replicate_S10_R1_001	LAMB3	144	144
03R-replicate_S10_R1_001	MAOA	1520	1465
03R-replicate_S10_R1_001	MAP3K5	481	470
03R-replicate_S10_R1_001	MMP7	295	290
03R-replicate_S10_R1_001	MT1G	52142	34610
03R-replicate_S10_R1_001	MT1H	3780	3594
03R-replicate_S10_R1_001	NDRG1	366	360
03R-replicate_S10_R1_001	NNMT	251	247
03R-replicate_S10_R1_001	OLFM1	42	42
03R-replicate_S10_R1_001	PAEP	426	422
03R-replicate_S10_R1_001	PRUNE2	910	884
03R-replicate_S10_R1_001	S100P	583	568
03R-replicate_S10_R1_001	SDHA	1942	1880
03R-replicate_S10_R1_001	SERPING1	4111	3864
03R-replicate_S10_R1_001	SFRP4	942	913
03R-replicate_S10_R1_001	SLC1A1	40	37
03R-replicate_S10_R1_001	SPP1	1868	1820
03R-replicate_S10_R1_001	TBP	398	394
03R-replicate_S10_R1_001	TCN1	338	333
03R-replicate_S10_R1_001	TSPAN8	83	82
03R-replicate_S10_R1_001	unmatched	14376	5408
03R_S3_R1_001	ABCC3	61	60
03R_S3_R1_001	ACADSB	196	190
03R_S3_R1_001	ANXA2	32464	24116
03R_S3_R1_001	ANXA4	4410	4094
03R_S3_R1_001	AOX1	19	19
03R_S3_R1_001	APOD	249	246
03R_S3_R1_001	AQP3	465	453
03R_S3_R1_001	ARG2	341	339
03R_S3_R1_001	ARID5B	319	310
03R_S3_R1_001	BCL6	159	155
03R_S3_R1_001	C10orf10	470	461
03R_S3_R1_001	C1R	3318	3078
03R_S3_R1_001	C4BPA	84	84
03R_S3_R1_001	CD55	1515	1474
03R_S3_R1_001	CEBPD	2362	2268
03R_S3_R1_001	CFD	343	339
03R_S3_R1_001	CLDN4	1000	985
03R_S3_R1_001	COMP	3	3
03R_S3_R1_001	CP	1569	1521
03R_S3_R1_001	CRABP2	635	626
03R_S3_R1_001	CYC1	703	690
03R_S3_R1_001	DDX52	352	341
03R_S3_R1_001	DEFB1	4886	4582
03R_S3_R1_001	DKK1	149	146
03R_S3_R1_001	DPP4	69	69
03R_S3_R1_001	DYNLT3	3570	3324
03R_S3_R1_001	EDN3	108	105
03R_S3_R1_001	EDNRB	266	256
03R_S3_R1_001	EFNA1	647	630
03R_S3_R1_001	ENPEP	40	39
03R_S3_R1_001	ERCC_00004	14842	12212
03R_S3_R1_001	ERCC_00108	1683	1639
03R_S3_R1_001	ERCC_00116	473	469
03R_S3_R1_001	ERCC_00136	2944	2816
03R_S3_R1_001	G0S2	205	201
03R_S3_R1_001	GADD45A	184	183
03R_S3_R1_001	GBP2	1936	1858
03R_S3_R1_001	GNLY	9484	8644
03R_S3_R1_001	GPX3	214	212
03R_S3_R1_001	HABP2	20	20
03R_S3_R1_001	HMBS	168	165
03R_S3_R1_001	ID4	4947	4611
03R_S3_R1_001	IDO1	4116	3700
03R_S3_R1_001	IGFBP1	13	13
03R_S3_R1_001	IL15	701	678
03R_S3_R1_001	LAMB3	137	137
03R_S3_R1_001	MAOA	1189	1165
03R_S3_R1_001	MAP3K5	434	423
03R_S3_R1_001	MMP7	252	248
03R_S3_R1_001	MT1G	43899	31051
03R_S3_R1_001	MT1H	3454	3282
03R_S3_R1_001	NDRG1	340	336
03R_S3_R1_001	NNMT	237	233
03R_S3_R1_001	OLFM1	41	40
03R_S3_R1_001	PAEP	351	346
03R_S3_R1_001	PRUNE2	726	709
03R_S3_R1_001	S100P	523	513
03R_S3_R1_001	SDHA	1836	1775
03R_S3_R1_001	SERPING1	3559	3396
03R_S3_R1_001	SFRP4	808	781
03R_S3_R1_001	SLC1A1	36	36
03R_S3_R1_001	SPP1	1590	1541
03R_S3_R1_001	TBP	471	466
03R_S3_R1_001	TCN1	319	316
03R_S3_R1_001	TSPAN8	54	53
03R_S3_R1_001	unmatched	10956	4583
04R-replicate_S11_R1_001	ABCC3	196	195
04R-replicate_S11_R1_001	ACADSB	341	334
04R-replicate_S11_R1_001	ANXA2	47614	31279
04R-replicate_S11_R1_001	ANXA4	11194	9551
04R-replicate_S11_R1_001	AOX1	64	62
04R-replicate_S11_R1_001	APOD	105	105
04R-replicate_S11_R1_001	AQP3	419	415
04R-replicate_S11_R1_001	ARG2	495	481
04R-replicate_S11_R1_001	ARID5B	1253	1208
04R-replicate_S11_R1_001	BCL6	293	285
04R-replicate_S11_R1_001	C10orf10	3332	3187
04R-replicate_S11_R1_001	C1R	2635	2467
04R-replicate_S11_R1_001	C4BPA	902	866
04R-replicate_S11_R1_001	CD55	2770	2675
04R-replicate_S11_R1_001	CEBPD	4332	4072
04R-replicate_S11_R1_001	CFD	423	417
04R-replicate_S11_R1_001	CLDN4	1479	1434
04R-replicate_S11_R1_001	COMP	4	4
04R-replicate_S11_R1_001	CP	4434	4176
04R-replicate_S11_R1_001	CRABP2	581	568
04R-replicate_S11_R1_001	CYC1	473	467
04R-replicate_S11_R1_001	DDX52	1122	1094
04R-replicate_S11_R1_001	DEFB1	14072	11952
04R-replicate_S11_R1_001	DKK1	135	135
04R-replicate_S11_R1_001	DPP4	132	132
04R-replicate_S11_R1_001	DYNLT3	5885	5318
04R-replicate_S11_R1_001	EDN3	120	118
04R-replicate_S11_R1_001	EDNRB	553	543
04R-replicate_S11_R1_001	EFNA1	1967	1868
04R-replicate_S11_R1_001	ENPEP	39	38
04R-replicate_S11_R1_001	ERCC_00004	14518	12012
04R-replicate_S11_R1_001	ERCC_00108	1589	1545
04R-replicate_S11_R1_001	ERCC_00116	418	412
04R-replicate_S11_R1_001	ERCC_00136	2788	2679
04R-replicate_S11_R1_001	G0S2	91	88
04R-replicate_S11_R1_001	GADD45A	440	432
04R-replicate_S11_R1_001	GBP2	6595	5923
04R-replicate_S11_R1_001	GNLY	15867	13776
04R-replicate_S11_R1_001	GPX3	740	731
04R-replicate_S11_R1_001	HABP2	105	104
04R-replicate_S11_R1_001	HMBS	63	62
04R-replicate_S11_R1_001	ID4	7465	6719
04R-replicate_S11_R1_001	IDO1	2869	2681
04R-replicate_S11_R1_001	IGFBP1	23	23
04R-replicate_S11_R1_001	IL15	667	643
04R-replicate_S11_R1_001	LAMB3	263	258
04R-replicate_S11_R1_001	MAOA	3509	3317
04R-replicate_S11_R1_001	MAP3K5	761	735
04R-replicate_S11_R1_001	MMP7	158	156
04R-replicate_S11_R1_001	MT1G	59312	37494
04R-replicate_S11_R1_001	MT1H	6163	5734
04R-replicate_S11_R1_001	NDRG1	472	461
04R-replicate_S11_R1_001	NNMT	993	973
04R-replicate_S11_R1_001	OLFM1	51	50
04R-replicate_S11_R1_001	PAEP	6817	6319
04R-replicate_S11_R1_001	PRUNE2	1086	1048
04R-replicate_S11_R1_001	S100P	3995	3769
04R-replicate_S11_R1_001	SDHA	1362	1310
04R-replicate_S11_R1_001	SERPING1	5151	4795
04R-replicate_S11_R1_001	SFRP4	1145	1096
04R-replicate_S11_R1_001	SLC1A1	64	63
04R-replicate_S11_R1_001	SPP1	5266	4956
04R-replicate_S11_R1_001	TBP	721	703
04R-replicate_S11_R1_001	TCN1	119	116
04R-replicate_S11_R1_001	TSPAN8	199	196
04R-replicate_S11_R1_001	unmatched	11937	5794
04R_S4_R1_001	ABCC3	352	341
04R_S4_R1_001	ACADSB	421	416
04R_S4_R1_001	ANXA2	57774	35203
04R_S4_R1_001	ANXA4	13363	10985
04R_S4_R1_001	AOX1	72	71
04R_S4_R1_001	APOD	190	189
04R_S4_R1_001	AQP3	491	484
04R_S4_R1_001	ARG2	567	550
04R_S4_R1_001	ARID5B	1636	1557
04R_S4_R1_001	BCL6	443	432
04R_S4_R1_001	C10orf10	4720	4448
04R_S4_R1_001	C1R	3515	3238
04R_S4_R1_001	C4BPA	1030	993
04R_S4_R1_001	CD55	3495	3363
04R_S4_R1_001	CEBPD	5531	5139
04R_S4_R1_001	CFD	574	562
04R_S4_R1_001	CLDN4	3317	3171
04R_S4_R1_001	COMP	5	4
04R_S4_R1_001	CP	5238	4899
04R_S4_R1_001	CRABP2	710	700
04R_S4_R1_001	CYC1	585	574
04R_S4_R1_001	DDX52	1306	1273
04R_S4_R1_001	DEFB1	17513	14256
04R_S4_R1_001	DKK1	171	168
04R_S4_R1_001	DPP4	138	138
04R_S4_R1_001	DYNLT3	7269	6433
04R_S4_R1_001	EDN3	165	161
04R_S4_R1_001	EDNRB	589	567
04R_S4_R1_001	EFNA1	2263	2145
04R_S4_R1_001	ENPEP	59	59
04R_S4_R1_001	ERCC_00004	17558	14034
04R_S4_R1_001	ERCC_00108	1928	1859
04R_S4_R1_001	ERCC_00116	623	604
04R_S4_R1_001	ERCC_00136	3394	3224
04R_S4_R1_001	G0S2	124	120
04R_S4_R1_001	GADD45A	599	580
04R_S4_R1_001	GBP2	7504	6715
04R_S4_R1_001	GNLY	17885	15184
04R_S4_R1_001	GPX3	1108	1080
04R_S4_R1_001	HABP2	91	90
04R_S4_R1_001	HMBS	93	91
04R_S4_R1_001	ID4	9019	8005
04R_S4_R1_001	IDO1	3358	3089
04R_S4_R1_001	IGFBP1	18	17
04R_S4_R1_001	IL15	862	817
04R_S4_R1_001	LAMB3	376	369
04R_S4_R1_001	MAOA	4302	4028
04R_S4_R1_001	MAP3K5	1039	1012
04R_S4_R1_001	MMP7	156	155
04R_S4_R1_001	MT1G	67829	40543
04R_S4_R1_001	MT1H	7640	6984
04R_S4_R1_001	NDRG1	597	580
04R_S4_R1_001	NNMT	1108	1072
04R_S4_R1_001	OLFM1	54	54
04R_S4_R1_001	PAEP	8333	7616
04R_S4_R1_001	PRUNE2	1134	1097
04R_S4_R1_001	S100P	4680	4401
04R_S4_R1_001	SDHA	1509	1467
04R_S4_R1_001	SERPING1	6140	5638
04R_S4_R1_001	SFRP4	1319	1279
04R_S4_R1_001	SLC1A1	72	70
04R_S4_R1_001	SPP1	6297	5816
04R_S4_R1_001	TBP	932	907
04R_S4_R1_001	TCN1	160	159
04R_S4_R1_001	TSPAN8	224	220
04R_S4_R1_001	unmatched	14567	6768
05R-replicate_S12_R1_001	ABCC3	18	18
05R-replicate_S12_R1_001	ACADSB	176	173
05R-replicate_S12_R1_001	ANXA2	18900	15621
05R-replicate_S12_R1_001	ANXA4	2309	2194
05R-replicate_S12_R1_001	AOX1	17	17
05R-replicate_S12_R1_001	APOD	77	76
05R-replicate_S12_R1_001	AQP3	566	552
05R-replicate_S12_R1_001	ARG2	49	49
05R-replicate_S12_R1_001	ARID5B	258	250
05R-replicate_S12_R1_001	BCL6	79	79
05R-replicate_S12_R1_001	C10orf10	195	188
05R-replicate_S12_R1_001	C1R	1591	1520
05R-replicate_S12_R1_001	C4BPA	25	25
05R-replicate_S12_R1_001	CD55	506	495
05R-replicate_S12_R1_001	CEBPD	1318	1276
05R-replicate_S12_R1_001	CFD	235	231
05R-replicate_S12_R1_001	CLDN4	210	208
05R-replicate_S12_R1_001	COMP	2	2
05R-replicate_S12_R1_001	CP	831	822
05R-replicate_S12_R1_001	CRABP2	1334	1298
05R-replicate_S12_R1_001	CYC1	614	598
05R-replicate_S12_R1_001	DDX52	138	131
05R-replicate_S12_R1_001	DEFB1	274	269
05R-replicate_S12_R1_001	DKK1	91	89
05R-replicate_S12_R1_001	DPP4	45	45
05R-replicate_S12_R1_001	DYNLT3	1152	1117
05R-replicate_S12_R1_001	EDN3	321	314
05R-replicate_S12_R1_001	EDNRB	210	201
05R-replicate_S12_R1_001	EFNA1	385	379
05R-replicate_S12_R1_001	ENPEP	28	27
05R-replicate_S12_R1_001	ERCC_00004	16755	13461
05R-replicate_S12_R1_001	ERCC_00108	1830	1763
05R-replicate_S12_R1_001	ERCC_00116	554	540
05R-replicate_S12_R1_001	ERCC_00136	3285	3109
05R-replicate_S12_R1_001	G0S2	104	102
05R-replicate_S12_R1_001	GADD45A	179	177
05R-replicate_S12_R1_001	GBP2	605	593
05R-replicate_S12_R1_001	GNLY	15832	13643
05R-replicate_S12_R1_001	GPX3	132	131
05R-replicate_S12_R1_001	HABP2	51	51
05R-replicate_S12_R1_001	HMBS	159	158
05R-replicate_S12_R1_001	ID4	2154	2066
05R-replicate_S12_R1_001	IDO1	1787	1695
05R-replicate_S12_R1_001	IGFBP1	3	3
05R-replicate_S12_R1_001	IL15	465	454
05R-replicate_S12_R1_001	LAMB3	36	36
05R-replicate_S12_R1_001	MAOA	471	461
05R-replicate_S12_R1_001	MAP3K5	351	345
05R-replicate_S12_R1_001	MMP7	472	457
05R-replicate_S12_R1_001	MT1G	9196	8386
05R-replicate_S12_R1_001	MT1H	701	685
05R-replicate_S12_R1_001	NDRG1	143	143
05R-replicate_S12_R1_001	NNMT	235	230
05R-replicate_S12_R1_001	OLFM1	150	146
05R-replicate_S12_R1_001	PAEP	135	135
05R-replicate_S12_R1_001	PRUNE2	292	289
05R-replicate_S12_R1_001	S100P	25	24
05R-replicate_S12_R1_001	SDHA	1235	1196
05R-replicate_S12_R1_001	SERPING1	2265	2165
05R-replicate_S12_R1_001	SFRP4	2668	2500
05R-replicate_S12_R1_001	SLC1A1	17	16
05R-replicate_S12_R1_001	SPP1	970	948
05R-replicate_S12_R1_001	TBP	372	366
05R-replicate_S12_R1_001	TCN1	29	27
